AYR, 2:20, FLT, HANDICAP, Dancing Rave,  Less than odds of 5
AYR, 2:20, FLT, HANDICAP, Amazing Grazing (IRE),  Less than odds of 5
AYR, 4:20, FLT, HANDICAP, Sagittarius Rising (IRE),  Less than odds of 5
CORK, 2:35, FLT, HANDICAP, Hiella (IRE),  Less than odds of 5
CORK, 2:35, FLT, HANDICAP, Bahlwan,  Less than odds of 5
CORK, 3:05, FLT, HANDICAP, Beckwith Place (IRE),  Less than odds of 5
CORK, 3:05, FLT, HANDICAP, Galtee Mist (IRE),  Less than odds of 5
KEMPTON (A.W), 7:40, AWF, HANDICAP, Fuwairt (IRE),  Less than odds of 10
KEMPTON (A.W), 7:40, AWF, HANDICAP, Shorter Skirt,  Less than odds of 5
SEDGEFIELD, 3:30, HDL, HANDICAP, Lucky Icon (IRE),  Less than odds of 5
SEDGEFIELD, 4:00, CHS, HANDICAP, Maxed Out King (IRE),  Less than odds of 10
SOUTHWELL, 2:40, CHS, HANDICAP, Kildaven Spider (IRE),  Less than odds of 10
SOUTHWELL, 3:40, HDL, HANDICAP, Ofcourseiwill (IRE),  Less than odds of 10
SOUTHWELL, 3:40, HDL, HANDICAP, Zamoyski,  Less than odds of 10
SOUTHWELL, 4:40, HDL, HANDICAP, Oxwich Bay (IRE),  Less than odds of 10
SOUTHWELL, 4:40, HDL, HANDICAP, Robyndzone (IRE),  Less than odds of 5
