Date,Course,Time,RaceCode,RaceType,SubType,Runners,Distance,Going,Class,Saddle,Draw,FormLine,Name,Age,Sex,Headgear,FirstGear,GearOn,CD,Gambled,BeatFav,LastRan,LastWon,RunsSince,HcapCount,Type,RunStyle,OR,Last_OR,HWM,LastWM,Form,Speed,Odds,OddsPos,DecOdds,MinOdds,MaxOdds,AvgOdds,Wins,Runs,HCrsWin,HCrsRun,HCrsStrk,HGngWin,HGngRun,HGngStrk,DistChange,HDisWin,HDisRun,HDisStrk,ClassChange,HClassWin,HClassRun,HClassStrk,HTotPrize,Trainer,TCrseWin,TCrseRun,TCrseStrk,TRTypeWin,TRTypeRun,TRTypeStrk,T14Win,T14Run,T14Strk,T30Win,T30Run,T30Strk,T60Win,T60Run,T60Strk,TJWin,TJRun,TJStrk,Jockey,JCrseWin,JCrseRun,JCrseStrk,JRTypeWin,JRTypeRun,JRTypeStrk,J14Win,J14Run,J14Strk,J30Win,J30Run,J30Strk,J60Win,J60Run,J60Strk,Owner,OCrseWin,OCrseRun,OCrseStrk,ORTypeWin,ORTypeRun,ORTypeStrk,O14Win,O14Run,O14Strk,O30Win,O30Run,O30Strk,O60Win,O60Run,O60Strk,Sire,SCrseWin,SCrseRun,SCrseStrk,SRTypeWin,SRTypeRun,SRTypeStrk,S14Win,S14Run,S14Strk,S30Win,S30Run,S30Strk,S60Win,S60Run,S60Strk,LastPerf,LastPerf_2,Fitness,Ability,Conditions,Vibes,Market,Rank,Travel,Shortlist,Tip,Position,Casualty,Status,RaceComment,WellHcap,FormRate,TForm,JForm
2019-10-01,AYR,1:50,FLT,HANDICAP,AppHCapFlt,14,8,Soft,6,1,7,453320,Equidae,4,C,t,N,,D,,N,12,188,8,13,in form,Unknown,66,65,65,65,74,105,14/1,9,15,13,15,13.3,1,17,0,3,0,0,6,0,SAME,1,9,11.11,DOWN,0,1,0,4916,Iain Jardine,16,143,11.19,50,615,8.13,2,26,7.69,6,48,12.5,15,105,14.29,1,4,25,Harry Russell,0,6,0,8,126,6.35,0,0,0,0,0,0,2,18,0,J Hay & F Steele,0,3,0,0,5,0,0,1,0,0,2,0,0,3,0,Equiano (FR),9,41,21.95,164,1759,9.32,3,44,6.82,8,81,9.88,20,173,11.56,3,1,2,1,1,3,2,7,,N,N,,,Runner,,positive,positive,N,N
2019-10-01,AYR,1:50,FLT,HANDICAP,AppHCapFlt,14,8,Soft,6,2,12,345941,The Stalking Moon (IRE),5,M,p,N,,D,,N,8,8,0,21,a sleeper,Unknown,63,58,74,58,68,101,10/1,6,11,9.4,11.5,10.09,4,25,0,0,0,3,11,27.27,SAME,1,3,33.33,DOWN,1,2,50,18780,Adrian Nicholls,0,0,0,14,139,10.07,2,5,40,4,14,28.57,6,37,16.22,0,18,0,Laura Coughlan,0,0,0,10,110,9.09,0,2,0,0,7,0,0,28,100,Lycett Racing 100 Club,0,0,0,1,1,100,1,1,100,1,1,100,1,1,100,Arcano (IRE),6,43,13.95,169,1487,11.37,5,30,16.67,6,73,8.22,11,146,7.53,1,2,1,3,1,3,2,9,,N,N,,,Runner,,neutral,neutral,N,C
2019-10-01,AYR,1:50,FLT,HANDICAP,AppHCapFlt,14,8,Soft,6,3,10,317990,Pudding Chare (IRE),5,G,t,N,,CD,,N,12,85,4,23,a sleeper,Unknown,62,63,60,60,64,108,50/1,12,60,50,50,50,3,29,3,18,16.67,0,5,0,SAME,1,12,8.33,DOWN,3,10,30,11672,R Mike Smith,15,163,9.2,19,205,9.27,0,18,0,0,31,0,1,50,2,0,0,0,Oliver Stammers,0,5,0,4,49,8.16,0,0,0,0,0,0,0,0,0,Ayr Racecourse Club,2,61,3.28,2,69,2.9,0,1,0,0,1,0,0,3,0,Arcano (IRE),6,43,13.95,169,1487,11.37,5,30,16.67,6,73,8.22,11,146,7.53,3,3,2,3,3,3,3,11,,N,N,,,Runner,,positive,neutral,C,N
2019-10-01,AYR,1:50,FLT,HANDICAP,AppHCapFlt,14,8,Soft,6,4,5,566472,Abushamah (IRE),8,G,,N,,D,,N,7,111,7,67,exposed,Unknown,61,61,80,62,68,107,13/1,7,13.5,10.5,13.5,10.8,7,75,0,5,0,1,16,6.25,DOWN,4,51,7.84,SAME,3,13,23.08,68161,Ruth Carr,7,63,11.11,53,777,6.82,0,26,0,0,41,0,6,111,5.41,0,3,0,Gavin Ashton,1,5,20,8,72,11.11,1,6,16.67,2,14,14.29,4,40,0,Grange Park Racing VIII & Mrs R Carr,0,1,0,3,23,13.04,0,1,0,0,1,0,0,3,0,Nayef (USA),0,6,0,33,438,7.53,0,5,0,2,14,14.29,4,29,13.79,1,3,1,2,1,3,2,5,,N,N,,,Runner,,positive,neutral,C,N
2019-10-01,AYR,1:50,FLT,HANDICAP,AppHCapFlt,14,8,Soft,6,5,3,327053,Chinese Spirit (IRE),5,G,,N,,CD,,N,12,111,8,30,a sleeper,Unknown,61,61,67,60,71,103,9/1,5,10,9.4,10,9.58,3,34,2,14,14.29,1,13,7.69,SAME,2,18,11.11,DOWN,1,6,16.67,23659,Linda Perratt,3,105,2.86,12,224,5.36,1,8,12.5,1,15,6.67,2,37,5.41,1,1,100,Rhona Pindar,2,11,18.18,8,93,8.6,0,5,0,0,13,0,2,31,0,"Y C Luk, Sandy Jarvie & L Perratt",0,5,0,0,7,0,0,1,0,0,2,0,0,4,0,Clodovil (IRE),4,33,12.12,76,1017,7.47,5,27,18.52,5,50,10,9,107,8.41,1,1,1,2,2,2,2,4,,N,N,,,Runner,,positive,positive,N,N
2019-10-01,AYR,1:50,FLT,HANDICAP,AppHCapFlt,14,8,Soft,6,6,13,630413,Remmy D (IRE),4,G,b,N,,D,,N,8,32,1,23,in form,Unknown,57,58,69,54,63,98,17/2,4,9.6,9.4,9.8,9.62,3,31,0,4,0,1,3,33.33,DOWN,1,4,25,DOWN,2,11,18.18,27186,Jim Goldie,17,246,6.91,41,555,7.39,4,38,10.53,4,55,7.27,9,106,8.49,6,83,7.23,Corey Madden,2,23,8.7,5,54,9.26,2,7,28.57,2,9,22.22,2,18,33.33,Whitestonecliffe Racing Partnership,0,4,0,1,10,10,0,1,0,0,1,0,1,3,33.33,Lawman (FR),6,43,13.95,140,1642,8.53,2,32,6.25,2,73,2.74,10,168,5.95,1,1,1,1,2,2,2,2,,N,N,,,Runner,,positive,neutral,N,N
2019-10-01,AYR,1:50,FLT,HANDICAP,AppHCapFlt,14,8,Soft,6,7,8,75-0360,Uh Oh Chongo,3,G,,N,,,,N,11,0,999,4,unexposed,Rear,59,61,,0,36,82,66/1,13,70,55,75,69,0,7,0,1,0,0,0,0,SAME,0,1,0,DOWN,0,0,0,300,Michael Easterby,2,44,4.55,55,671,8.2,3,40,7.5,5,70,7.14,11,130,8.46,1,2,50,Zak Wheatley,0,4,0,5,52,9.62,0,9,0,0,14,0,0,27,0,Reg Bond And John Blackburn,0,2,0,0,11,0,0,1,0,0,1,0,0,3,0,Monsieur Bond (IRE),3,23,13.04,78,846,9.22,1,12,8.33,2,28,7.14,6,71,8.45,3,3,2,3,2,3,3,11,,N,N,,,Runner,,negative,negative,N,C
2019-10-01,AYR,1:50,FLT,HANDICAP,AppHCapFlt,14,8,Soft,6,8,2,700164,Kinch (IRE),3,G,,N,,C,,N,33,85,2,8,improving,Unknown,59,59,54,54,64,100,11/2,2,6.6,5.6,6.6,6.13,1,11,1,1,100,0,8,0,UP,0,4,0,SAME,1,9,11.11,3260,J F Levins,4,13,30.77,10,123,8.13,0,3,0,0,8,0,0,19,0,2,23,8.7,Sean Kirrane,0,2,0,13,106,12.26,1,13,7.69,1,23,4.35,6,49,0,Jonny Hayes,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,Dark Angel (IRE),9,79,11.39,364,3384,10.76,5,80,6.25,18,165,10.91,41,398,10.3,2,2,2,2,3,2,2,8,,N,N,,,Runner,,positive,neutral,C,N
2019-10-01,AYR,1:50,FLT,HANDICAP,AppHCapFlt,14,8,Soft,6,9,11,8-35972,Gamesters Icon,4,F,tp,N,,,,N,8,0,999,12,in form,Unknown,55,55,,0,61,104,9/2,1,5.5,5.4,5.8,5.59,0,17,0,1,0,0,7,0,SAME,0,9,0,SAME,0,2,0,8297,Oliver Greenall,2,8,25,2,46,4.35,0,6,0,0,8,0,0,22,0,0,0,0,Aiden Blakemore,0,9,0,0,6,0,0,2,0,0,2,0,0,4,0,Gamesters Partnership,0,1,0,0,12,0,0,1,0,0,1,0,0,1,0,Sixties Icon (GB),2,25,8,130,1233,10.54,4,27,14.81,6,44,13.64,15,109,13.76,1,3,1,1,1,1,2,1,,N,Y,,,Runner,,positive,neutral,C,C
2019-10-01,AYR,1:50,FLT,HANDICAP,AppHCapFlt,14,8,Soft,6,10,6,000183,Highway To Heaven (IRE),4,F,,N,,,,N,5,48,2,15,a sleeper,Unknown,54,54,45,45,59,2,15/2,3,8.6,7.2,8.8,8.35,1,22,0,0,0,1,7,14.29,SAME,0,5,0,SAME,1,15,6.67,15504,T G McCourt,0,0,0,11,205,5.37,0,12,0,0,29,0,4,58,6.9,0,0,0,Kieran Schofield,1,13,7.69,9,114,7.89,0,9,0,0,9,0,0,9,0,P Jordan & D Battersby & Gerard Shevlin & David Da,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pour Moi (IRE),0,2,0,55,597,9.21,0,13,0,3,28,10.71,11,69,15.94,2,2,1,2,2,2,2,3,,N,N,,,Runner,,positive,negative,C,N
