Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,AHh,B365AHH,B365AHA,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,IWCH,IWCD,IWCA,PSCH,PSCD,PSCA,WHCH,WHCD,WHCA,VCCH,VCCD,VCCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,B365C>2.5,B365C<2.5,PC>2.5,PC<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,AHCh,B365CAHH,B365CAHA,PCAHH,PCAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA
E1,01/10/2019,19:45,Blackburn,Nott'm Forest,,,,,,,2.05,3.5,3.6,2.1,3.4,3.6,2.05,3.4,3.5,2.08,3.59,3.7,2.05,3.5,3.6,2.05,3.5,3.7,2.3,3.65,3.75,2.08,3.46,3.56,1.9,1.9,1.95,1.95,2,1.95,1.92,1.89,-0.25,1.75,2.05,1.8,2.13,1.99,2.14,1.8,2.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,01/10/2019,19:45,Hull,Sheffield Weds,,,,,,,2.7,3.5,2.5,2.8,3.3,2.55,2.7,3.35,2.5,2.81,3.46,2.6,2.75,3.5,2.5,2.75,3.5,2.55,2.85,3.62,2.62,2.75,3.42,2.54,1.8,2,1.88,2.01,1.92,2.03,1.85,1.96,0,2.03,1.87,2.03,1.88,2.04,1.89,2,1.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,01/10/2019,19:45,Leeds,West Brom,,,,,,,1.75,3.8,4.33,1.72,3.9,4.75,1.8,3.8,4.15,1.84,3.72,4.58,1.78,3.75,4.5,1.83,3.9,4.2,1.86,3.9,4.75,1.8,3.75,4.42,1.72,2.1,1.76,2.16,1.77,2.22,1.7,2.15,-0.75,2.07,1.83,2.09,1.83,2.09,1.87,2.04,1.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,01/10/2019,19:45,Middlesbrough,Preston,,,,,,,2.62,3.2,2.75,2.65,3.1,2.85,2.65,3.15,2.75,2.73,3.32,2.76,2.62,3.3,2.7,2.7,3.25,2.75,2.8,3.42,2.85,2.66,3.2,2.75,2,1.8,2.11,1.8,2.22,1.82,2.1,1.73,0,1.92,1.98,1.95,1.97,1.95,2.01,1.91,1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,01/10/2019,19:45,Wigan,Birmingham,,,,,,,2.5,3.2,3,2.45,3.2,3,2.45,3.15,2.95,2.57,3.16,3.09,2.45,3.2,3,2.45,3.3,3,2.6,3.3,3.12,2.49,3.18,2.99,2.2,1.66,2.29,1.68,2.29,1.71,2.21,1.67,-0.25,2.07,1.72,2.18,1.76,2.18,1.8,2.12,1.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,01/10/2019,20:00,Reading,Fulham,,,,,,,3.6,3.6,2,3.5,3.6,2.05,3.45,3.6,2,3.63,3.68,2.07,3.5,3.6,2.05,3.6,3.6,2.05,3.67,3.72,2.15,3.53,3.59,2.05,1.72,2.1,1.76,2.16,1.79,2.17,1.74,2.1,0.25,2.05,1.75,2.13,1.8,2.13,1.85,2.08,1.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,01/10/2019,20:00,Stoke,Huddersfield,,,,,,,1.8,3.7,4.5,1.83,3.5,4.6,1.77,3.45,4.7,1.79,3.71,4.96,1.75,3.6,5,1.8,3.6,4.8,1.84,3.76,5.15,1.79,3.57,4.73,2.2,1.66,2.21,1.72,2.25,1.75,2.18,1.69,-0.75,2.06,1.84,2.06,1.85,2.08,1.86,2.04,1.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,02/10/2019,19:45,Barnsley,Derby,,,,,,,2.5,3.5,2.75,2.6,3.4,2.7,2.5,3.4,2.7,2.62,3.52,2.75,2.6,3.4,2.7,2.55,3.5,2.7,2.65,3.55,2.8,2.55,3.42,2.71,1.8,2,1.82,2.08,1.87,2.08,1.81,2,0,1.89,2.01,1.91,2.01,1.91,2.03,1.87,1.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,02/10/2019,19:45,Brentford,Bristol City,,,,,,,1.8,3.8,4,1.83,3.8,4.1,1.77,3.8,4.25,1.8,4.09,4.32,1.8,3.9,4.2,1.8,3.9,4.3,1.88,4.09,4.33,1.8,3.87,4.16,1.72,2.1,1.75,2.18,1.77,2.18,1.72,2.11,-0.75,2.05,1.85,2.07,1.85,2.1,1.88,2.04,1.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,02/10/2019,19:45,Cardiff,QPR,,,,,,,2.1,3.5,3.4,2.1,3.6,3.4,2.1,3.5,3.3,2.16,3.6,3.47,2.15,3.5,3.3,2.1,3.6,3.4,2.25,3.6,3.48,2.15,3.49,3.32,1.8,2,1.8,2.11,1.82,2.11,1.77,2.05,-0.25,1.85,2.05,1.87,2.04,1.94,2.07,1.86,2.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,02/10/2019,19:45,Charlton,Swansea,,,,,,,3.2,3.4,2.25,3.2,3.3,2.3,3.15,3.3,2.25,3.39,3.44,2.25,3.25,3.3,2.25,3.25,3.4,2.25,3.39,3.56,2.38,3.21,3.33,2.26,1.9,1.9,1.98,1.93,2.01,1.93,1.94,1.87,0.25,1.94,1.96,1.97,1.95,1.97,1.99,1.91,1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,02/10/2019,19:45,Luton,Millwall,,,,,,,2.5,3.4,2.8,2.45,3.3,2.95,2.4,3.35,2.85,2.48,3.36,3.04,2.45,3.4,2.9,2.45,3.5,2.88,2.55,3.5,3.05,2.45,3.32,2.9,1.9,1.9,1.93,1.97,1.93,2.03,1.87,1.94,-0.25,2.05,1.75,2.13,1.8,2.21,1.8,2.11,1.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EC,01/10/2019,19:45,Fylde,Barnet,,,,,,,2,3.5,3.6,1.95,3.4,3.5,2.05,3.25,3.35,2.12,3.37,3.69,2.05,3.4,3.5,2.15,3.5,3.75,2.15,3.55,3.75,2.04,3.35,3.45,2,1.8,1.98,1.85,2.05,1.89,1.95,1.82,-0.25,1.77,2.02,1.81,2.06,1.83,2.13,1.78,2.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EC,01/10/2019,19:45,Solihull,Wrexham,,,,,,,1.9,3.6,3.8,1.9,3.3,3.8,1.9,3.3,3.7,1.97,3.54,4.02,1.91,3.5,3.9,2,3.6,4.1,2,3.62,4.1,1.92,3.4,3.77,2,1.8,1.97,1.85,2.01,1.89,1.95,1.82,-0.5,1.93,1.88,1.96,1.9,1.99,1.95,1.93,1.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP2,01/10/2019,18:00,Albacete,Santander,,,,,,,2.15,3,3.75,2.15,3,3.8,2.25,3,3.55,2.43,2.98,3.47,2.2,3,3.6,2.3,3,3.5,2.44,3.1,3.8,2.28,2.95,3.44,2.5,1.5,2.59,1.53,2.63,1.55,2.5,1.51,-0.25,2,1.85,2.05,1.85,2.07,2.04,1.98,1.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP2,01/10/2019,18:00,Extremadura UD,Elche,,,,,,,2.45,3,3.1,2.45,3,3.1,2.55,3.05,2.9,2.6,3.07,3.09,2.5,3,3,2.6,3,3,2.63,3.09,3.1,2.52,2.99,2.97,2.35,1.57,2.45,1.59,2.46,1.62,2.37,1.57,0,1.77,2.1,1.79,2.13,1.83,2.13,1.79,2.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP2,01/10/2019,18:00,Numancia,Fuenlabrada,,,,,,,2.2,3.1,3.5,2.2,3,3.7,2.2,3.05,3.6,2.34,3.11,3.5,2.05,3.1,3.9,2.38,3,3.4,2.38,3.12,3.7,2.24,3,3.45,2.5,1.5,2.73,1.49,2.73,1.53,2.55,1.49,-0.25,1.98,1.88,1.99,1.92,2.04,2.14,1.94,1.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP2,01/10/2019,20:00,Vallecano,Alcorcon,,,,,,,1.57,3.75,6,1.65,3.7,5.5,1.63,3.75,5.5,1.64,3.95,5.73,1.63,3.7,5.25,1.62,3.8,6,1.66,3.95,6,1.62,3.72,5.5,2.07,1.72,2.11,1.78,2.14,1.8,2.07,1.75,-0.75,1.8,2.05,1.84,2.06,1.86,2.09,1.83,2.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP2,02/10/2019,18:00,Cadiz,Huesca,,,,,,,2.1,3.1,3.8,2,3,4.2,2.05,3.05,4,2.17,3.05,4.07,2.1,3,3.9,2.1,3.1,4,2.17,3.19,4.2,2.08,3.02,3.89,2.6,1.47,2.7,1.48,2.73,1.53,2.6,1.48,-0.25,1.77,2.02,1.82,2.07,1.83,2.14,1.77,2.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP2,02/10/2019,18:00,Mirandes,Lugo,,,,,,,2.45,2.9,3.25,2.4,2.95,3.2,2.45,2.95,3.15,2.45,3.06,3.34,2.38,3,3.2,2.5,3,3.13,2.5,3.13,3.34,2.42,2.95,3.15,2.4,1.53,2.51,1.55,2.6,1.57,2.48,1.52,-0.25,2.1,1.77,2.06,1.83,2.13,1.83,2.07,1.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP2,02/10/2019,20:00,Ponferradina,Las Palmas,,,,,,,2.2,3.1,3.5,2.25,3.1,3.4,2.15,3.15,3.55,2.21,3.32,3.55,2.3,3.1,3.2,2.15,3.2,3.7,2.28,3.32,3.7,2.16,3.18,3.42,2.3,1.6,2.37,1.61,2.43,1.64,2.33,1.58,-0.25,1.85,2,1.88,1.99,2,2.05,1.86,1.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
