Country,League,Date,Time,Home,Away,PH,PD,PA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA
Argentina,Superliga,30/08/2019,23:00,Lanus,Central Cordoba,1.68,3.48,6.33,1.76,3.5,6.33,1.69,3.35,5.67
Argentina,Superliga,31/08/2019,01:10,Defensa y Justicia,Banfield,2.9,2.97,2.83,2.96,3,2.84,2.83,2.87,2.73
Argentina,Superliga,31/08/2019,01:10,Estudiantes L.P.,Velez Sarsfield,2.88,2.87,2.95,2.88,3,2.95,2.79,2.83,2.81
Argentina,Superliga,31/08/2019,17:15,Argentinos Jrs,Gimnasia L.P.,2.02,3.18,4.47,2.11,3.25,4.47,1.99,3.15,4.15
Argentina,Superliga,31/08/2019,19:30,San Lorenzo,Union de Santa Fe,1.81,3.43,5.22,1.87,3.55,5.22,1.78,3.42,4.83
Argentina,Superliga,31/08/2019,21:45,Patronato,Independiente,4.22,3.21,2.06,4.22,3.3,2.1,3.87,3.18,2.05
Argentina,Superliga,01/09/2019,00:00,Racing Club,Godoy Cruz,1.61,3.83,6.45,1.65,3.9,6.45,1.59,3.73,5.89
Argentina,Superliga,01/09/2019,15:00,Atl. Tucuman,Arsenal Sarandi,2.23,3.12,3.77,2.23,3.4,3.85,2.13,3.14,3.63
Argentina,Superliga,01/09/2019,15:00,Colon Santa FE,Rosario Central,2.66,2.95,3.13,2.66,3.08,3.13,2.54,2.96,3
Argentina,Superliga,01/09/2019,17:15,Newells Old Boys,Huracan,2,3.21,4.5,2,3.35,4.5,1.94,3.21,4.21
Argentina,Superliga,01/09/2019,17:15,Talleres Cordoba,Aldosivi,1.88,3.11,5.5,1.91,3.32,5.5,1.84,3.12,4.97
Argentina,Superliga,01/09/2019,21:00,River Plate,Boca Juniors,2.1,3.47,3.71,2.2,3.47,3.71,2.11,3.26,3.49
Austria,Tipico Bundesliga,31/08/2019,16:00,Admira,Mattersburg,2.26,3.7,3.1,2.26,3.7,3.2,2.22,3.48,3
Austria,Tipico Bundesliga,31/08/2019,16:00,LASK Linz,AC Wolfsberger,2.04,3.78,3.58,2.07,3.78,3.6,1.99,3.6,3.46
